# ln(x) rounding bounds for all valid bfloat16 inputs (MPFR 4.2.1)
# lb=(y_prev+y)/2, ub=(y+y_next)/2; edge open/closed by ties-to-even
#   y even -> [lb,ub] rounds to y (closed); y odd -> (lb,ub) (open)
# columns: u,i1,i2,scope,edge,lb_hex,ub_hex,y_hex,y_bits,lb_dec,ub_dec
49,0,49,NON-LP,open,-0x5.8cp+4,-0x5.84p+4,-0x5.88p+4,0xC2B1,-88.75,-88.25
50,0,50,NON-LP,open,-0x5.8cp+4,-0x5.84p+4,-0x5.88p+4,0xC2B1,-88.75,-88.25
51,0,51,NON-LP,open,-0x5.8cp+4,-0x5.84p+4,-0x5.88p+4,0xC2B1,-88.75,-88.25
52,0,52,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
53,0,53,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
54,0,54,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
55,0,55,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
56,0,56,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
57,0,57,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
58,0,58,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
59,0,59,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
60,0,60,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
61,0,61,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
62,0,62,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
63,0,63,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
64,0,64,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
65,0,65,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
66,0,66,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
67,0,67,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
68,0,68,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
69,0,69,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
70,0,70,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
71,0,71,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
72,0,72,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
73,0,73,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
74,0,74,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
75,0,75,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
76,0,76,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
77,0,77,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
78,0,78,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
79,0,79,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
80,0,80,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
81,0,81,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
82,0,82,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
83,0,83,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
84,0,84,NON-LP,closed,-0x5.84p+4,-0x5.7cp+4,-0x5.8p+4,0xC2B0,-88.25,-87.75
85,0,85,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
86,0,86,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
87,0,87,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
88,0,88,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
89,0,89,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
90,0,90,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
