# ln(x) rounding bounds for all valid bfloat16 inputs (MPFR 4.2.1)
# lb=(y_prev+y)/2, ub=(y+y_next)/2; edge open/closed by ties-to-even
#   y even -> [lb,ub] rounds to y (closed); y odd -> (lb,ub) (open)
# columns: u,i1,i2,scope,edge,lb_hex,ub_hex,y_hex,y_bits,lb_dec,ub_dec
3411,26,83,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3412,26,84,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3413,26,85,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3414,26,86,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3415,26,87,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3416,26,88,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3417,26,89,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3418,26,90,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3419,26,91,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3420,26,92,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3421,26,93,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3422,26,94,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3423,26,95,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3424,26,96,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3425,26,97,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3426,26,98,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3427,26,99,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3428,26,100,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3429,26,101,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3430,26,102,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3431,26,103,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3432,26,104,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3433,26,105,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3434,26,106,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3435,26,107,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3436,26,108,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3437,26,109,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3438,26,110,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3439,26,111,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3440,26,112,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3441,26,113,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3442,26,114,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3443,26,115,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3444,26,116,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3445,26,117,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3446,26,118,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3447,26,119,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3448,26,120,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3449,26,121,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3450,26,122,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3451,26,123,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3452,26,124,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3453,26,125,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3454,26,126,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3455,26,127,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3456,27,0,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3457,27,1,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3458,27,2,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3459,27,3,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3460,27,4,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3461,27,5,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3462,27,6,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3463,27,7,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3464,27,8,LP,open,-0x4.5cp+4,-0x4.54p+4,-0x4.58p+4,0xC28B,-69.75,-69.25
3465,27,9,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3466,27,10,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3467,27,11,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3468,27,12,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3469,27,13,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3470,27,14,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3471,27,15,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3472,27,16,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3473,27,17,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3474,27,18,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3475,27,19,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3476,27,20,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3477,27,21,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3478,27,22,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3479,27,23,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3480,27,24,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3481,27,25,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3482,27,26,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3483,27,27,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3484,27,28,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3485,27,29,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3486,27,30,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3487,27,31,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3488,27,32,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3489,27,33,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3490,27,34,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3491,27,35,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3492,27,36,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3493,27,37,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3494,27,38,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3495,27,39,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3496,27,40,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3497,27,41,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3498,27,42,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3499,27,43,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3500,27,44,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3501,27,45,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3502,27,46,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3503,27,47,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3504,27,48,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3505,27,49,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3506,27,50,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3507,27,51,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3508,27,52,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3509,27,53,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3510,27,54,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3511,27,55,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3512,27,56,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3513,27,57,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3514,27,58,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3515,27,59,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3516,27,60,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3517,27,61,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3518,27,62,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3519,27,63,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3520,27,64,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3521,27,65,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3522,27,66,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3523,27,67,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3524,27,68,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3525,27,69,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3526,27,70,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3527,27,71,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3528,27,72,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3529,27,73,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3530,27,74,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3531,27,75,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3532,27,76,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3533,27,77,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3534,27,78,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3535,27,79,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3536,27,80,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3537,27,81,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3538,27,82,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3539,27,83,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3540,27,84,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3541,27,85,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3542,27,86,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3543,27,87,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3544,27,88,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3545,27,89,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3546,27,90,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3547,27,91,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3548,27,92,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3549,27,93,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3550,27,94,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3551,27,95,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3552,27,96,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3553,27,97,LP,closed,-0x4.54p+4,-0x4.4cp+4,-0x4.5p+4,0xC28A,-69.25,-68.75
3554,27,98,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3555,27,99,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3556,27,100,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3557,27,101,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3558,27,102,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3559,27,103,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3560,27,104,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3561,27,105,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3562,27,106,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3563,27,107,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3564,27,108,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3565,27,109,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3566,27,110,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3567,27,111,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3568,27,112,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3569,27,113,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3570,27,114,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3571,27,115,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3572,27,116,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3573,27,117,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3574,27,118,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3575,27,119,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3576,27,120,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3577,27,121,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3578,27,122,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3579,27,123,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3580,27,124,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3581,27,125,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3582,27,126,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3583,27,127,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3584,28,0,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3585,28,1,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3586,28,2,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3587,28,3,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3588,28,4,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3589,28,5,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3590,28,6,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3591,28,7,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3592,28,8,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3593,28,9,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3594,28,10,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3595,28,11,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3596,28,12,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3597,28,13,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3598,28,14,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3599,28,15,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3600,28,16,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3601,28,17,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3602,28,18,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3603,28,19,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3604,28,20,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3605,28,21,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3606,28,22,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3607,28,23,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3608,28,24,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3609,28,25,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3610,28,26,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3611,28,27,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3612,28,28,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3613,28,29,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3614,28,30,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3615,28,31,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3616,28,32,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3617,28,33,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3618,28,34,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3619,28,35,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3620,28,36,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3621,28,37,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3622,28,38,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3623,28,39,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3624,28,40,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3625,28,41,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3626,28,42,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3627,28,43,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3628,28,44,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3629,28,45,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3630,28,46,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3631,28,47,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3632,28,48,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3633,28,49,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3634,28,50,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3635,28,51,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3636,28,52,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3637,28,53,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3638,28,54,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3639,28,55,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3640,28,56,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3641,28,57,LP,open,-0x4.4cp+4,-0x4.44p+4,-0x4.48p+4,0xC289,-68.75,-68.25
3642,28,58,LP,closed,-0x4.44p+4,-0x4.3cp+4,-0x4.4p+4,0xC288,-68.25,-67.75
3643,28,59,LP,closed,-0x4.44p+4,-0x4.3cp+4,-0x4.4p+4,0xC288,-68.25,-67.75
3644,28,60,LP,closed,-0x4.44p+4,-0x4.3cp+4,-0x4.4p+4,0xC288,-68.25,-67.75
